Name,Term,ES,NES,NOM p-val,FDR q-val,FWER p-val,Tag %,Gene %,Lead_genes
prerank,E2F Targets,-0.55591286749272,-2.7390889730123624,0.0,0.0,0.0,107/200,21.96%,UBE2S;DDX39A;ASF1B;RNASEH2A;ILF3;ESPL1;DNMT1;CDC20;MSH2;TIMELESS;STMN1;AURKB;SPC24;PA2G4;MYBL2;PLK1;PPP1R8;TOP2A;SPAG5;GINS4;SUV39H1;GINS1;MXD3;MCM7;RPA2;DCTPP1;ANP32E;TUBG1;CDCA8;POLE;CDK4;CCNE1;SRSF1;PSMC3IP;MELK;RFC3;CKS2;PSIP1;NCAPD2;MCM2;PAN2;KIF2C;POLD2;AURKA;HMGB2;NUP107;LUC7L3;PTTG1;CDCA3;CCP110;CSE1L;SNRPB;KIF22;LYAR;WDR90;SMC4;NAA38;BIRC5;PRKDC;JPT1;ASF1A;E2F8;TP53;CENPE;RFC2;SPC25;RAD21;NME1;DSCC1;POLD1;CDKN2C;LIG1;CHEK1;TK1;H2AX;LBR;TFRC;POP7;MCM4;PMS2;MKI67;HMGA1;RACGAP1;KPNA2;TBRG4;AK2;CKS1B;CHEK2;NOP56;RAD51AP1;H2AZ1;MMS22L;MAD2L1;ATAD2;KIF18B;MCM5;KIF4A;UBE2T;POLD3;MRE11;TRA2B;CDKN1B;ORC6;RAN;TRIP13;POLE4;CDKN3
prerank,Myc Targets V1,-0.5227276248084002,-2.5812118156026016,0.0,0.0,0.0,115/200,25.60%,HDDC2;RRP9;CDC20;FBL;PA2G4;SRM;HDAC2;AIMP2;RPL14;CAD;HDGF;RPS5;PSMB2;SNRPA;NDUFAB1;CCT4;MCM7;IMPDH2;TRIM28;PHB;CDK4;SNRPD2;PABPC4;SRSF1;PRPF31;HNRNPA1;PSMD3;NOP16;PSMD8;RPS3;CNBP;MCM2;EIF3B;PSMC4;HSPD1;POLD2;RFC4;KARS1;APEX1;VDAC3;HNRNPR;SMARCC1;PRPS2;LSM7;TUFM;TCP1;UBE2L3;C1QBP;EIF3D;CCT7;SNRPG;NHP2;ODC1;RACK1;GOT2;SNRPB2;TARDBP;RPL18;CDC45;NME1;CLNS1A;CDK2;MRPL9;MCM4;MRPL23;SNRPD1;RRM1;CCNA2;PPIA;HSPE1;EIF4H;KPNA2;NOP56;RNPS1;H2AZ1;NPM1;SRSF3;MAD2L1;PHB2;PPM1G;SLC25A3;GLO1;MCM5;GNL3;XPOT;PSMB3;NCBP2;RPL34;TRA2B;RPS6;UBA2;RPL22;RAN;COX5A;PCBP1;LSM2;SNRPD3;CCT2;ACP1;EIF2S2;AP3S1;RPL6;TXNL4A;PCNA;CCT3;PWP1;KPNB1;RPS2;HSP90AB1;SRSF7;CYC1;XRCC6;CBX3;PRDX3;EXOSC7
prerank,Oxidative Phosphorylation,-0.5168760369509827,-2.506042373327323,0.0,0.0,0.0,107/200,22.43%,ATP5MC2;TIMM50;COX7A2;COX5B;NDUFB7;UQCRC1;NDUFA7;ECHS1;ECI1;POLR2F;MRPS12;UQCRFS1;MRPL34;COX6B1;ATP5MC1;RHOT2;HSD17B10;NDUFS3;NDUFAB1;MFN2;ATP5F1D;NDUFB4;NDUFA8;AFG3L2;NDUFA3;NDUFC2;FH;IDH1;COX17;NDUFS7;SURF1;NDUFB5;BCKDHA;MRPS15;ECH1;NDUFA2;MRPL11;VDAC3;UQCR11;COX7B;COX7C;ACADVL;ACAA1;NDUFV2;ATP5F1B;ATP5MF;CYCS;NDUFV1;COX4I1;HTRA2;PDHB;ETFB;SDHC;GOT2;COX8A;NDUFB3;TIMM10;NDUFB6;NDUFA4;SDHB;GPX4;IDH3B;BAX;SLC25A20;CYB5R3;MRPL15;NDUFB1;NDUFA6;MDH2;OXA1L;MGST3;TIMM13;NDUFS8;COX6C;CS;TIMM8B;HADHB;NDUFS6;ATP5PB;ATP5MC3;ATP6V1F;ATP6V1C1;ATP5PF;LDHB;ATP5ME;HSPA9;PHB2;IDH2;SLC25A3;OPA1;PMPCA;ATP5F1E;MRPS22;COX6A1;OGDH;ATP5MG;NDUFS4;TIMM9;CPT1A;TIMM17A;UQCR10;SLC25A11;COX5A;HADHA;ATP5F1C;AIFM1;COX7A2L
prerank,Myc Targets V2,-0.5728197717866762,-2.281871144012813,0.0,0.0,0.0,41/58,22.27%,RRP9;PA2G4;SRM;PLK1;AIMP2;NDUFAF4;TMEM97;DCTPP1;PPAN;PHB;CDK4;NOP16;NOC4L;HSPD1;MRTO4;FARSA;DUSP2;LAS1L;BYSL;TFB2M;IMP4;EXOSC5;SLC29A2;MCM4;MYBBP1A;HSPE1;TBRG4;RABEPK;NOP56;NPM1;WDR74;GRWD1;NOP2;TCOF1;MCM5;GNL3;IPO4;PUS1;PES1;MAP3K6;PPRC1
prerank,DNA Repair,-0.47993871160603035,-2.277083890585591,0.0,0.0,0.0,76/149,23.39%,AAAS;USP11;SAC3D1;POLR2F;POLR2E;VPS37D;CCNO;RALA;GTF3C5;SUPT5H;RPA2;POLD4;TARBP2;IMPDH2;POLR2I;ADA;PRIM1;RFC3;UMPS;ELL;BOLA2;COX17;NELFB;POLR2H;SURF1;RFC4;NME3;TAF10;TAF1C;EDF1;SF3A3;DGUOK;POLR3C;SEC61A1;MRPL40;NT5C;ERCC4;EIF1B;ADCY6;PDE6G;ELOA;REV3L;POLB;POLR2J;GPX4;POLH;TP53;RFC2;AGO4;NME1;POLD1;LIG1;POLR1C;SNAPC4;TAF6;TAF12;GMPR2;ERCC2;TAF9;DGCR8;POLR2G;BCAP31;NELFE;NCBP2;POLD3;ITPA;NELFCD;MPC2;POLE4;CANT1;SSRP1;RAD52;PCNA;ARL6IP1;UPF3B;BRF2
prerank,Inflammatory Response,0.4924886971996001,2.2443730119788676,0.0,0.0,0.0,106/200,26.94%,PDE4B;IL18R1;KCNJ2;PTPRE;EBI3;HAS2;NLRP3;TACR1;AQP9;OSMR;MARCO;IL15;CLEC5A;GPR183;OLR1;TNFSF9;TLR3;SGMS2;HIF1A;ADORA2B;C5AR1;MSR1;ATP2A2;IL1B;PTGER4;SLC31A2;KCNA3;IL18;OPRK1;SELE;NOD2;C3AR1;CXCL9;IL18RAP;CMKLR1;CD55;CYBB;LYN;TLR1;PCDH7;CCL22;ABCA1;GABBR1;RGS1;SLC7A1;IL10;INHBA;ABI1;IL10RA;SLC28A2;LCK;TNFAIP6;TNFRSF9;NAMPT;P2RX7;CX3CL1;P2RX4;TLR2;F3;ADGRE1;MEFV;TNFSF15;CD48;MEP1A;CD70;HRH1;TAPBP;CHST2;FPR1;ROS1;PROK2;EREG;CCL5;SELL;CXCR6;GPR132;PTGER2;EDN1;LCP2;CSF3R;IL7R;PTAFR;IL1A;TPBG;IFNAR1;CXCL6;FFAR2;ITGA5;KLF6;IL2RB;APLNR;IL6;SLAMF1;SEMA4D;PIK3R5;SLC4A4;CSF3;GCH1;SLC11A2;GNAI3;SLC31A1;SCN1B;IL12B;CALCRL;IL4R;IL15RA
prerank,G2-M Checkpoint,-0.4475814916639323,-2.2070048891646863,0.0,0.0,0.0,104/200,26.17%,UBE2S;E2F1;DDX39A;TRAIP;ILF3;ESPL1;CDC20;TPX2;STMN1;AURKB;MYBL2;POLQ;KIF15;PLK1;TTK;HMGN2;TOP2A;RAD54L;TROAP;SUV39H1;NUMA1;RPA2;POLE;CDK4;STIL;SRSF1;ODF2;CKS2;UBE2C;CENPF;RBL1;MCM2;KIF2C;AURKA;BUB1;KATNA1;PTTG1;INCENP;UPF1;PRC1;SMARCC1;KIF22;SMC4;ATF5;CHMP1A;KIF11;CBX1;BIRC5;DBF4;ODC1;E2F2;FOXN3;JPT1;CDC45;CENPE;RAD21;CDKN2C;CHEK1;H2AX;LBR;MKI67;HMGA1;SNRPD1;CCNA2;RACGAP1;KPNA2;CHAF1A;MEIS1;CASP8AP2;CCNF;BCL3;CKS1B;NEK2;PBK;H2AZ1;PRMT5;MAD2L1;MCM5;KIF4A;FANCC;AMD1;CCNT1;RPS6KA5;TRA2B;CUL4A;CDKN1B;ORC6;CDKN3;RBM14;CDC25A;H2AZ2;SMC1A;NOTCH2;CDC7;KPNB1;HSPA8;NUP50;NUP98;HMGB3;DKC1;STAG1;KIF20B;XPO1;CDK1
prerank,Interferon Gamma Response,0.43063310952514705,1.9775248626350352,0.0,0.0,0.0,98/200,29.79%,PDE4B;HLA-B;GBP6;IRF4;PTGS2;JAK2;TRIM26;IL15;P2RY14;SELP;ARID5B;CFH;MARCHF1;HIF1A;DDX60;PELI1;APOL6;IL7;LATS2;CD38;BATF2;EPSTI1;CXCL9;CMKLR1;CASP3;CD274;ISG20;SAMD9L;DDX58;PML;IRF2;CSF2RB;IL10RA;NLRC5;PARP12;FAS;TNFAIP6;NAMPT;IFI44;ZBP1;TAP1;BANK1;IRF8;LAP3;SP110;PSMB9;VCAM1;KLRK1;OAS2;IFIT2;TAPBP;FPR1;TRIM14;RNF31;CCL5;PLA2G4A;ARL4A;LCP2;CD86;HLA-A;TXNIP;METTL7B;SECTM1;CASP7;B2M;IL2RB;IL6;HERC6;RNF213;CFB;IRF5;IFI30;GCH1;HLA-G;TNFAIP3;OAS3;BPGM;C1R;CMPK2;GBP4;PSMB8;IL4R;IL15RA;PSMB10;TDRD7;HLA-DMA;IDO1;RBCK1;MX1;PTPN6;FGL2;CASP8;CASP4;STAT4;LYSMD2;NMI;NFKBIA;TRAFD1
prerank,Allograft Rejection,0.4113104226863216,1.8606354878621734,0.0,0.0002558803267394941,0.001,112/200,32.78%,GCNT1;TLR6;IRF4;INHBB;NLRP3;CD28;KLRD1;JAK2;IL15;TLR3;HIF1A;F2R;NOS2;EGFR;IL7;FYB1;IL1B;GBP2;IL18;ITGB2;IGSF6;CXCL9;GPR65;IL18RAP;FCGR2B;GLMN;PTPRC;CTSS;LYN;CCR5;TLR1;CCL22;IL10;INHBA;ABI1;TRAT1;IL12A;FAS;LCK;C2;ITGAL;UBE2D1;IL2RA;TAP1;TLR2;CCL4;IRF8;CCR1;IL16;ETS1;MMP9;FGR;SRGN;TAPBP;CD8A;ITK;EREG;CCL5;CD3G;CD2;LCP2;CD86;NCR1;PRF1;NCF4;IFNG;HLA-A;GZMB;CXCL13;B2M;LY75;IL2RB;IL6;EIF3J;PRKCB;CCL19;CXCR3;TAP2;HLA-G;CRTAM;CD247;IL12B;IL4R;HLA-DRA;PSMB10;CD3E;HLA-DMA;CD80;PTPN6;RPL3L;STAT4;TPD52;HLA-DOA;FLNA;BCAT1;STAB1;GZMA;CD8B;ZAP70;CCND2;CCR2;CFP;CD79A;IFNAR2;CCL13;CD3D;FASLG;HLA-E;TGFB1;LY86;WARS1;IFNGR2
prerank,KRAS Signaling Up,0.41456407241115867,1.8535249511799714,0.0,0.0005757307351638619,0.003,96/199,26.81%,SPRY2;GUCY1A1;ITGA2;EVI5;CCSER2;TRIB2;MMP10;DUSP6;PRDM1;SCG3;ETV1;ETV5;PTGS2;CBR4;NIN;ETV4;SNAP91;ADGRL4;MMP11;CFH;USP12;PRRX1;MAFB;SOX9;F13A1;CSF2RA;TFPI;DOCK2;BMP2;IL1B;RELN;ABCB1;ADAM17;CSF2;ITGB2;C3AR1;TMEM158;NAP1L2;MTMR10;CMKLR1;CTSS;SATB1;IKZF1;PTBP2;EMP1;SPP1;MMD;GPNMB;PDCD1LG2;INHBA;IL10RA;LCP1;ANKH;EPB41L3;BIRC3;PLAU;TPH1;MPZL2;IRF8;ETS1;TMEM100;MMP9;CROT;IL33;ATG10;EREG;PLEK2;TMEM176B;PTPRR;TNNT2;TOR1AIP2;IL7R;LAPTM5;FBXO4;SPARCL1;DNMBP;ERO1A;ALDH1A3;NRP1;GLRX;ADAMDEC1;GABRA3;CXCR4;ANXA10;HSD11B1;FGF9;CFB;MALL;TNFAIP3;SCN1B;PTCD2;BPGM;LY96;RBP4;PSMB8;RABGAP1L
