srx	gsm
SRX10112402	GSM5087364
SRX10112403	GSM5087365
SRX10112404	GSM5087366
SRX10112405	GSM5087367
SRX1059898	GSM1712831
SRX1059899	GSM1712832
SRX1059900	GSM1712833
SRX1059901	GSM1712834
SRX1059902	GSM1712835
SRX1059903	GSM1712836
SRX1070858	GSM1720803
SRX1070859	GSM1720804
SRX1070860	GSM1720805
SRX1070861	GSM1720806
SRX1070862	GSM1720807
SRX1070868	GSM1720813
SRX1070869	GSM1720814
SRX1070870	GSM1720815
SRX1070871	GSM1720816
SRX1070872	GSM1720817
SRX10773161	GSM5281836
SRX10773162	GSM5281837
SRX10773163	GSM5281838
SRX10773164	GSM5281839
SRX10773165	GSM5281840
SRX10773166	GSM5281841
SRX10773167	GSM5281842
SRX10773168	GSM5281843
SRX10773169	GSM5281844
SRX10773170	GSM5281845
SRX10773171	GSM5281846
SRX10773172	GSM5281847
SRX10773173	GSM5281848
SRX10773174	GSM5281849
SRX10773175	GSM5281850
SRX10773176	GSM5281851
SRX1092012	GSM1819217
SRX1092013	GSM1819218
SRX1092014	GSM1819219
SRX1092015	GSM1819220
SRX1092016	GSM1819221
SRX1092017	GSM1819222
SRX1092018	GSM1819223
SRX1092019	GSM1819224
SRX1092020	GSM1819225
SRX1092021	GSM1819226
SRX1092022	GSM1819227
SRX1092023	GSM1819228
SRX10949048	GSM5326922
SRX10949049	GSM5326923
SRX10949050	GSM5326924
SRX10949051	GSM5326925
SRX10949052	GSM5326926
SRX10949053	GSM5326927
SRX10949054	GSM5326928
SRX10949055	GSM5326929
SRX10949056	GSM5326930
SRX10949057	GSM5326931
SRX10949058	GSM5326932
SRX10949059	GSM5326933
SRX11051754	GSM5354292
SRX11051755	GSM5354293
SRX11051756	GSM5354294
SRX11051757	GSM5354295
SRX11051758	GSM5354296
SRX11051759	GSM5354297
SRX1254413	GSM1887643
SRX13767472	GSM5814909
SRX13767473	GSM5814910
SRX13767474	GSM5814911
SRX13767475	GSM5814912
SRX13767476	GSM5814913
SRX13767477	GSM5814914
SRX13767478	GSM5814915
SRX13767479	GSM5814916
SRX13767480	GSM5814917
SRX13767481	GSM5814918
SRX13767482	GSM5814919
SRX13767483	GSM5814920
SRX13767484	GSM5814921
SRX13767485	GSM5814922
SRX1402454	GSM1922046
SRX1402455	GSM1922047
SRX1402457	GSM1922048
SRX1402458	GSM1922049
SRX145829	GSM926674
SRX145830	GSM926675
SRX145831	GSM926676
SRX1690314	GSM2113580
SRX1690318	GSM2113584
SRX1690319	GSM2113585
SRX217028	GSM1063575
SRX217029	GSM1063576
SRX217030	GSM1063577
SRX217031	GSM1063578
SRX2457063	GSM2443016
SRX2457064	GSM2443017
SRX2457065	GSM2443018
SRX2457066	GSM2443019
SRX2457067	GSM2443020
SRX2457068	GSM2443021
SRX2457069	GSM2443022
SRX2457070	GSM2443023
SRX2457071	GSM2443024
SRX2457072	GSM2443025
SRX2457073	GSM2443026
SRX2457074	GSM2443027
SRX2463227	GSM2445294
SRX2463228	GSM2445295
SRX2463229	GSM2445296
SRX2463230	GSM2445297
SRX2705106	GSM2563629
SRX2705107	GSM2563630
SRX2705108	GSM2563631
SRX2705109	GSM2563632
SRX3048921	GSM2722301
SRX3101964	GSM2746367
SRX3101965	GSM2746368
SRX3101966	GSM2746369
SRX3101967	GSM2746370
SRX384671	GSM1276542
SRX474109	GSM1331342
SRX474111	GSM1331344
SRX474113	GSM1331346
SRX474115	GSM1331348
SRX5213367	GSM3544711
SRX5213368	GSM3544712
SRX5213369	GSM3544713
SRX5213370	GSM3544714
SRX5213371	GSM3544715
SRX5213372	GSM3544716
SRX5213373	GSM3544717
SRX5213374	GSM3544718
SRX5797779	GSM3753501
SRX5797780	GSM3753502
SRX5797781	GSM3753503
SRX5797784	GSM3753506
SRX5797785	GSM3753507
SRX5797788	GSM3753510
SRX5797789	GSM3753511
SRX5797792	GSM3753514
SRX5797793	GSM3753515
SRX5797794	GSM3753516
SRX5797797	GSM3753519
SRX5797798	GSM3753520
SRX6065269	GSM3889077
SRX6065270	GSM3889078
SRX6065271	GSM3889079
SRX6065272	GSM3889080
SRX6065277	GSM3889085
SRX6065278	GSM3889086
SRX6065279	GSM3889087
SRX6065280	GSM3889088
SRX6065285	GSM3889093
SRX6065286	GSM3889094
SRX6065287	GSM3889095
SRX6065288	GSM3889096
SRX6369535	GSM3907597
SRX6369536	GSM3907598
SRX646183	GSM1427362
SRX646184	GSM1427363
SRX646185	GSM1427364
SRX6494016	GSM3966949
SRX6494017	GSM3966950
SRX6494018	GSM3966951
SRX6494019	GSM3966952
SRX6494020	GSM3966953
SRX6494021	GSM3966954
SRX663295	GSM1446874
SRX663296	GSM1446875
SRX663297	GSM1446876
SRX663298	GSM1446877
SRX663299	GSM1446878
SRX663300	GSM1446879
SRX669416	GSM1464903
SRX669417	GSM1464904
SRX6806071	GSM4062072
SRX6806072	GSM4062073
SRX6806073	GSM4062074
SRX6806074	GSM4062075
SRX6806075	GSM4062076
SRX6806076	GSM4062077
SRX6806077	GSM4062078
SRX6806078	GSM4062079
SRX6806079	GSM4062080
SRX6806080	GSM4062081
SRX6806081	GSM4062082
SRX6806082	GSM4062083
SRX6806083	GSM4062084
SRX6806084	GSM4062085
SRX6806085	GSM4062086
SRX6806086	GSM4062087
SRX6806087	GSM4062088
SRX6969279	GSM4114767
SRX6969280	GSM4114768
SRX6969281	GSM4114769
SRX6969282	GSM4114770
SRX6969283	GSM4114771
SRX6969284	GSM4114772
SRX6969285	GSM4114773
SRX6969286	GSM4114774
SRX6969287	GSM4114775
SRX6969288	GSM4114776
SRX6969289	GSM4114777
SRX6969290	GSM4114778
SRX6969291	GSM4114779
SRX6969292	GSM4114780
SRX6969293	GSM4114781
SRX6969294	GSM4114782
SRX6969295	GSM4114783
SRX6969296	GSM4114784
SRX6969305	GSM4114793
SRX6969306	GSM4114794
SRX6969307	GSM4114795
SRX6969308	GSM4114796
SRX6969309	GSM4114797
SRX6969310	GSM4114798
SRX6969311	GSM4114799
SRX6969312	GSM4114800
SRX6969313	GSM4114801
SRX7082853	GSM4146393
SRX7082854	GSM4146394
SRX7082855	GSM4146395
SRX7082856	GSM4146396
SRX7136110	GSM4160132
SRX7136111	GSM4160133
SRX7136112	GSM4160134
SRX7136113	GSM4160135
SRX7136114	GSM4160136
SRX7136115	GSM4160137
SRX8333487	GSM4550615
SRX8333488	GSM4550616
SRX8333489	GSM4550617
SRX8333490	GSM4550618
SRX870804	GSM1606107
SRX870805	GSM1606108
SRX870806	GSM1606109
SRX870807	GSM1606110
SRX870808	GSM1606111
SRX870809	GSM1606112
SRX870810	GSM1606113
SRX870811	GSM1606114
SRX9141924	GSM4793171
SRX9141925	GSM4793172
SRX9141926	GSM4793173
SRX9141932	GSM4793179
SRX9141933	GSM4793180
SRX9141934	GSM4793181
SRX9173290	GSM4798519
SRX9173291	GSM4798520
SRX9173292	GSM4798521
SRX9173293	GSM4798522
SRX9173294	GSM4798523
SRX9173295	GSM4798524
SRX9173296	GSM4798525
SRX9173297	GSM4798526
SRX9173298	GSM4798527
SRX9444526	GSM4886540
SRX9444527	GSM4886541
SRX9444528	GSM4886542
SRX9444529	GSM4886543
