source_file	srx_or_reason
SRX10100109.fastq.gz	SRX10100109
SRX10100110.fastq.gz	SRX10100110
SRX10100111.fastq.gz	SRX10100111
SRX10100118.fastq.gz	SRX10100118
SRX10100119.fastq.gz	SRX10100119
SRX10100120.fastq.gz	SRX10100120
SRX11406158.fastq.gz	SRX11406158
SRX11406159.fastq.gz	SRX11406159
SRX11406160.fastq.gz	SRX11406160
SRX11406161.fastq.gz	SRX11406161
SRX11406162.fastq.gz	SRX11406162
SRX11406163.fastq.gz	SRX11406163
SRX11406164.fastq.gz	SRX11406164
SRX11406165.fastq.gz	SRX11406165
SRX12763793.fastq.gz	SRX12763793
SRX12763794.fastq.gz	SRX12763794
SRX12763795.fastq.gz	SRX12763795
SRX12763796.fastq.gz	SRX12763796
SRX12763797.fastq.gz	SRX12763797
SRX12763798.fastq.gz	SRX12763798
SRX12763799.fastq.gz	SRX12763799
SRX12763800.fastq.gz	SRX12763800
SRX12763801.fastq.gz	SRX12763801
SRX12763802.fastq.gz	SRX12763802
SRX1616307.fastq.gz	SRX1616307
SRX1704872.fastq.gz	SRX1704872
SRX1704873.fastq.gz	SRX1704873
SRX172315.fastq.gz	SRX172315
SRX172360.fastq.gz	SRX172360
SRX172361.fastq.gz	SRX172361
SRX172392.fastq.gz	SRX172392
SRX205658.fastq.gz	SRX205658
SRX205661.fastq.gz	SRX205661
SRX205662.fastq.gz	SRX205662
SRX205663.fastq.gz	SRX205663
SRX205664.fastq.gz	SRX205664
SRX205665.fastq.gz	SRX205665
SRX205666.fastq.gz	SRX205666
SRX205667.fastq.gz	SRX205667
SRX205668.fastq.gz	SRX205668
SRX205669.fastq.gz	SRX205669
SRX205670.fastq.gz	SRX205670
SRX205671.fastq.gz	SRX205671
SRX205672.fastq.gz	SRX205672
SRX205673.fastq.gz	SRX205673
SRX205675.fastq.gz	SRX205675
SRX344414.fastq.gz	SRX344414
SRX5016644.fastq.gz	SRX5016644
SRX5016646.fastq.gz	SRX5016646
SRX5016647.fastq.gz	SRX5016647
SRX5016648.fastq.gz	SRX5016648
SRX5016649.fastq.gz	SRX5016649
SRX5016650.fastq.gz	SRX5016650
SRX5016651.fastq.gz	SRX5016651
SRX5016652.fastq.gz	SRX5016652
SRX5696961.fastq.gz	SRX5696961
SRX5696962.fastq.gz	SRX5696962
SRX5696963.fastq.gz	SRX5696963
SRX5696964.fastq.gz	SRX5696964
SRX5696965.fastq.gz	SRX5696965
SRX5696966.fastq.gz	SRX5696966
SRX5696967.fastq.gz	SRX5696967
SRX5696968.fastq.gz	SRX5696968
SRX5696969.fastq.gz	SRX5696969
SRX5696970.fastq.gz	SRX5696970
SRX5696971.fastq.gz	SRX5696971
SRX5696972.fastq.gz	SRX5696972
SRX680704.fastq.gz	SRX680704
SRX680706.fastq.gz	SRX680706
SRX7529365.fastq.gz	SRX7529365
SRX7529366.fastq.gz	SRX7529366
SRX7529367.fastq.gz	SRX7529367
SRX7529368.fastq.gz	SRX7529368
SRX7529369.fastq.gz	SRX7529369
SRX7529370.fastq.gz	SRX7529370
SRX7529371.fastq.gz	SRX7529371
SRX7529372.fastq.gz	SRX7529372
SRX7529373.fastq.gz	SRX7529373
SRX7529374.fastq.gz	SRX7529374
SRX7529375.fastq.gz	SRX7529375
SRX7529376.fastq.gz	SRX7529376
SRX7529377.fastq.gz	SRX7529377
SRX7529378.fastq.gz	SRX7529378
SRX8608929.fastq.gz	SRX8608929
SRX8608931.fastq.gz	SRX8608931
SRX8608933.fastq.gz	SRX8608933
